Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.5831, -1.4285, 19.8896
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8180, -1.3557, 20.3910
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8470, -1.2136, 19.7741
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.7842, -1.0533, 19.9447
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8422, -0.9109, 20.5492
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8123, -0.8449, 20.3775
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9552, -0.8566, 20.0351
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8302, -0.8657, 20.2102
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8366, -0.8632, 20.2994
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8158, -0.8418, 19.7064
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8198, -0.7980, 19.1640
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8410, -0.7349, 19.1250
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8020, -0.6712, 19.0376
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4018, -0.5984, 20.9924
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4628, -0.5315, 20.9732
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4799, -0.4826, 20.6340
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5096, -0.4567, 20.9085
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4867, -0.4494, 20.9726
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4795, -0.4538, 20.5973
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4659, -0.4637, 20.6612
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4516, -0.4747, 20.4274
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5071, -0.4839, 21.1467
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5071, -0.4900, 21.0112
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4847, -0.4932, 20.8431
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4938, -0.4943, 20.6159
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4860, -0.4965, 21.2987
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5027, -0.5014, 20.7938
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5058, -0.5083, 21.0632
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5247, -0.5151, 20.6233
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5352, -0.5213, 20.8502
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5640, -0.5261, 21.1988
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5210, -0.5295, 20.9814
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5093, -0.5314, 21.2466
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5315, -0.5321, 20.8785
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5556, -0.5317, 20.8888
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5404, -0.5300, 20.4944
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5263, -0.5268, 21.0305
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5401, -0.5223, 21.0626
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5560, -0.5173, 21.1344
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5034, -0.5131, 20.3557
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4991, -0.5104, 20.8057
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4961, -0.5096, 20.8447
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5112, -0.5102, 20.8052
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5364, -0.5115, 21.0948
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5195, -0.5124, 20.9194
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5242, -0.5124, 21.2162
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4950, -0.5117, 21.2427
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5097, -0.5107, 21.2461
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4890, -0.5111, 21.1909
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5456, -0.5109, 21.4138
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5166, -0.5104, 21.6456
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5212, -0.5080, 21.7474
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5046, -0.5038, 21.4500
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4845, -0.4998, 21.8986
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4981, -0.4960, 21.8579
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5152, -0.4928, 21.8323
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4745, -0.4909, 21.8406
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.5006, -0.4889, 21.7723
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4977, -0.4863, 22.1423
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4924, -0.4830, 21.3652
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4714, -0.4875, 22.1178
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.4973, -0.4975, 22.2160
