Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.1925, -4.1933, 18.4681
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.1021, -3.2783, 18.1369
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.1436, -3.5664, 18.6493
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.0774, -3.7589, 18.6137
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.0472, -3.7557, 18.1893
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.1028, -3.5727, 18.3617
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9475, -3.5235, 18.8911
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9813, -3.5535, 19.5432
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9847, -3.4813, 18.9036
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.0112, -3.3079, 18.6859
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -4.0411, -3.0820, 18.7807
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9225, -2.9880, 19.0967
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9181, -2.8948, 19.3513
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -1.0213, -2.7786, 19.2748
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.8995, -2.7119, 18.9040
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.9086, -2.6731, 19.3311
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.8441, -2.5641, 18.7512
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.8067, -2.3745, 19.3185
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.8116, -2.3163, 19.4965
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.7840, -2.3395, 19.6899
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9341, -2.4334, 19.1378
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.7653, -2.5314, 19.5432
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8556, -2.5859, 20.0773
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.7965, -2.5646, 19.9104
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.7262, -2.4396, 19.5170
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.7922, -2.2029, 19.7731
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -1.0230, -1.8771, 19.8768
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9078, -1.5123, 19.6208
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9889, -1.4075, 19.8088
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -3.6837, -1.3210, 20.5571
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9716, -1.2001, 19.9661
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8750, -1.0611, 20.0165
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9456, -0.9369, 19.9178
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9149, -0.9524, 20.2994
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8949, -1.1230, 20.2629
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.8892, -1.2947, 20.3837
2019-02-01,JH190201_c1,1,JH190201_c1/JH190201_c1_ctrl_1.ibw,OMP,E TC,,, -0.9785, -1.4070, 19.8084
